#	########################################
#	##### Peptide Assembling #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./filtered.psm.txt
#	
#	pep{Run1} = ./filtered.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 28
#	Target_Proteins_Before_Filtering = 3867
#	Total_Proteins_Before_Filtering = 3895
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 25
#	Target_Proteins_After_Filtering = 2839
#	Total_Proteins_After_Filtering = 2864
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.00873
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
merged|15041_3	1	4	1	4	0.5714285714285714	0.57	N/A	T
merged|15092_8	1	6	1	6	0.2727272727272727	0.27	N/A	T
merged|15221_7	1	3	1	4	0.6666666666666666	0.67	N/A	T
merged|15230_16	1	2	1	2	0.6666666666666666	0.67	N/A	T
merged|15230_6	1	4	1	4	1.0	1.0	N/A	T
merged|15273_1	1	1	1	1	1.0	1.0	N/A	T
merged|15316_1	1	1	1	1	1.0	1.0	N/A	T
merged|15335_1	2	2	2	2	2.0	2.0	N/A	T
merged|15339_3	1	1	1	1	1.0	1.0	N/A	T
merged|15417_2	1	1	1	1	1.0	1.0	N/A	T
merged|15451_19	1	1	1	1	1.0	1.0	N/A	T
merged|15515_1	1	1	1	1	1.0	1.0	N/A	T
merged|15628_1	1	1	1	1	1.0	1.0	N/A	T
merged|15629_26	1	3	1	3	0.6	0.6	N/A	T
merged|15683_2	3	3	3	3	3.0	3.0	N/A	T
merged|15683_4	2	2	2	2	2.0	2.0	N/A	T
merged|15806_4	1	2	1	2	1.0	1.0	N/A	T
merged|15854_2	1	1	1	1	1.0	1.0	N/A	T
merged|15862_1	4	4	8	8	8.0	8.0	N/A	T
merged|15878_1	1	1	1	1	1.0	1.0	N/A	T
merged|15908_3	1	1	1	1	1.0	1.0	N/A	T
merged|1590_5	2	2	2	2	2.0	2.0	N/A	T
merged|15952_23	2	2	2	2	2.0	2.0	N/A	T
merged|15978_1	2	2	3	3	3.0	3.0	N/A	T
merged|16031_3	4	4	4	4	4.0	4.0	N/A	T
merged|16046_1	1	2	1	2	0.25	0.25	N/A	T
merged|16059_3	2	11	2	18	3.6	3.6	N/A	T
merged|16061_1	1	1	2	2	2.0	2.0	N/A	T
merged|16136_5	1	1	1	1	1.0	1.0	N/A	T
merged|16140_7	1	1	1	1	1.0	1.0	N/A	T
merged|16179_6	1	1	1	1	1.0	1.0	N/A	T
merged|16226_10	1	1	1	1	1.0	1.0	N/A	T
merged|16254_19	1	1	1	1	1.0	1.0	N/A	T
merged|16327_1	1	1	1	1	1.0	1.0	N/A	T
merged|1632_2	6	6	6	6	6.0	6.0	N/A	T
merged|1636_18	1	1	1	1	1.0	1.0	N/A	T
merged|1641_4	1	3	1	3	1.0	1.0	N/A	T
merged|16420_14	1	1	1	1	1.0	1.0	N/A	T
merged|16490_14	1	1	1	1	1.0	1.0	N/A	T
merged|16501_2	1	1	1	1	1.0	1.0	N/A	T
merged|16528_108	1	1	1	1	1.0	1.0	N/A	T
merged|16528_40	1	1	1	1	1.0	1.0	N/A	T
merged|16528_60	2	2	2	2	2.0	2.0	N/A	T
merged|16528_89	1	1	1	1	1.0	1.0	N/A	T
merged|16539_1	1	5	1	5	0.45454545454545453	0.45	N/A	T
merged|16548_5	1	1	1	1	1.0	1.0	N/A	T
merged|16570_4	1	1	1	1	1.0	1.0	N/A	T
merged|16592_7	1	12	1	20	0.46511627906976744	0.47	N/A	T
merged|16595_1	4	4	4	4	4.0	4.0	N/A	T
merged|16663_2	1	1	2	2	2.0	2.0	N/A	T
merged|16713_6	1	1	1	1	1.0	1.0	N/A	T
merged|16739_2	1	2	1	2	1.0	1.0	N/A	T
